char	codepoint	low_byte	ascii_if_printable
俤	U+4FE4	0xE4	
俥	U+4FE5	0xE5	
俦	U+4FE6	0xE6	
俧	U+4FE7	0xE7	
俨	U+4FE8	0xE8	
俩	U+4FE9	0xE9	
俪	U+4FEA	0xEA	
俫	U+4FEB	0xEB	
俬	U+4FEC	0xEC	
俭	U+4FED	0xED	
修	U+4FEE	0xEE	
俯	U+4FEF	0xEF	
俰	U+4FF0	0xF0	
俱	U+4FF1	0xF1	
俲	U+4FF2	0xF2	
俳	U+4FF3	0xF3	
俴	U+4FF4	0xF4	
俵	U+4FF5	0xF5	
俶	U+4FF6	0xF6	
俷	U+4FF7	0xF7	
俸	U+4FF8	0xF8	
俹	U+4FF9	0xF9	
俺	U+4FFA	0xFA	
俻	U+4FFB	0xFB	
俼	U+4FFC	0xFC	
俽	U+4FFD	0xFD	
俾	U+4FFE	0xFE	
俿	U+4FFF	0xFF	
倀	U+5000	0x00	
倁	U+5001	0x01	
倂	U+5002	0x02	
倃	U+5003	0x03	
倄	U+5004	0x04	
倅	U+5005	0x05	
倆	U+5006	0x06	
倇	U+5007	0x07	
倈	U+5008	0x08	
倉	U+5009	0x09	
倊	U+500A	0x0A	
個	U+500B	0x0B	
倌	U+500C	0x0C	
倍	U+500D	0x0D	
倎	U+500E	0x0E	
倏	U+500F	0x0F	
倐	U+5010	0x10	
們	U+5011	0x11	
倒	U+5012	0x12	
倓	U+5013	0x13	
倔	U+5014	0x14	
倕	U+5015	0x15	
倖	U+5016	0x16	
倗	U+5017	0x17	
倘	U+5018	0x18	
候	U+5019	0x19	
倚	U+501A	0x1A	
倛	U+501B	0x1B	
倜	U+501C	0x1C	
倝	U+501D	0x1D	
倞	U+501E	0x1E	
借	U+501F	0x1F	
倠	U+5020	0x20	 
倡	U+5021	0x21	!
